Timestamp,Bib-Nombre,Bib-Siglas,Bib-Tipo,Bib-CCAA,P02-H1,P03-H1-A,P03-H1-B,P03-H1-C,P04-H1,P05-H1,P06-H1-A,P06-H1-B,P06-H1-C,P06-H1-D,P06-H1-E,P06-H1-F,P07-H2,P08-H2,P09-H2-A,P09-H2-B,P09-H2-C,P09-H2-D,P10-H2-A,P10-H2-B,P10-H2-C,P11-H3,P12-H3,P13-H3,P14-H3,P15-H3-C01,P15-H3-C02,P15-H3-C03,P15-H3-C04,P15-H3-C05,P15-H3-C06,P15-H3-C07,P15-H3-C08,P15-H3-C09,P15-H3-C10,P15-H3-C11,P15-H3-C12
1/22/2014 12:37:09,Universidad de Granada,UGR,Pública,Andalucía,Sí,Sí,No,No,En un repositorio donde se incluyen diversos tipos de datos,Repositorio desarrollado por la biblioteca,,,,,,,Sí,Sí,Sí,No,No,No,No,No,Sí,No,,,Bibliotecario con formación en gestión de datos de investigación,4,2,4,4,5,4,2,3,4,2,3,2
1/22/2014 15:43:27,Universitat Autònoma de Barcelona,UAB,Pública,Cataluña,Sí,Sí,No,No,En un repositorio donde se incluyen diversos tipos de datos,Repositorio desarrollado conjuntamente entre la biblioteca y otro/s departamento/s de la universidad,,,,,,,Sí,No,,,,,No,No,Sí,Sí,Personal ya presente en la plantilla - proporcionándole formación específica,Bibliotecario especializado en mapas y cartografía,Una combinación de las opciones 3 y 4,5,3,3,2,4,4,4,4,4,4,4,1
1/22/2014 16:35:32,Universidad Francisco de Vitoria,UFV,Privada,País Vasco,No,No,No,No,,,Sí,Sí,Sí,No,No,Sí,No,,,,,,,,,No,,,Bibliotecario con formación en gestión de datos geográficos,5,4,3,3,3,5,5,5,5,5,5,4
1/23/2014 13:17:17,Universidad Carlos III de Madrid,UC3M,Pública,Madrid,No,No,No,No,,,No,No,No,Sí,No,No,Sí,No,,,,,No,Sí,No,No,,,Bibliotecario con formación en gestión de datos de investigación,5,5,5,5,3,5,5,3,5,3,5,4
1/23/2014 14:13:05,Universitat de Vic,UVIC,Pública,Cataluña,No,No,No,No,,,No,No,No,Sí,No,Sí,No,,,,,,,,,No,,,Lo desconozco,4,3,1,2,2,4,4,3,2,2,2,2
1/23/2014 19:35:19,Universidad de Oviedo,UNIOVU,Pública,Asturias,No,No,No,No,,,No,No,No,No,No,Sí,Sí,No,,,,,No,Sí,No,No,,,Especialista en datos geográficos / sistemas de información geográfica,3,3,3,2,4,4,4,3,4,3,4,2
1/24/2014 10:22:56,Universitat de Barcelona,UBU,Pública,Cataluña,No,No,No,No,,,No,No,No,No,Sí,No,Sí,No,,,,,No,Sí,No,No,,,Bibliotecario especializado en mapas y cartografía,4,4,4,4,4,4,4,4,4,4,4,4
1/24/2014 11:25:06,Universidad Católica de Valencia San Vicente Martir,UCV,Privada,Comunidad Valenciana,No,No,No,No,,,No,No,No,Sí,No,Sí,No,,,,,,,,,No,,,Bibliotecario especializado en mapas y cartografía,4,3,4,4,4,3,3,3,5,4,4,2
1/24/2014 12:22:24,Universidad de Extremadura,UNEX,Pública,Extremadura,No,No,No,No,,,No,No,No,Sí,No,No,Sí,No,,,,,No,No,Sí,No,,,Bibliotecario con formación en gestión de datos geográficos,4,5,3,3,3,4,5,3,5,4,5,4
1/24/2014 12:28:58,Universitat de València,UVEG,Pública,Comunidad Valenciana,No,No,No,No,,,No,No,No,No,Sí,No,Sí,No,,,,,No,Sí,No,Sí,Personal ya presente en la plantilla - proporcionándole formación específica,Bibliotecario especializado en mapas y cartografía,Bibliotecario con formación en gestión de datos geográficos,5,3,2,3,5,5,4,5,5,3,5,2
